p,c,m1,m2,m3,m4
5,15,78.1,78.1,78.2,78.9
5,20,42,41.9,41.8,41.7
5,25,25.1,24.9,24.9,24.8
5,30,16.77,16.61,16.6,16.6
5,35,12.02,11.88,11.81,11.81
5,40,8.8,8.61,8.48,8.48
5,45,6.95,6.68,6.65,6.63
5,50,5.42,5.27,5.19,5.16
5,60,3.8,3.58,3.53,3.5
5,70,2.9,2.68,2.61,2.56
10,80,4.55,4.08,3.9,3.62
10,90,3.59,3.15,3.02,2.93
10,100,2.95,2.6,2.38,2.31
10,120,2.35,1.887,1.925,1.625
20,140,4.5,3.37,2.8,2.66
20,160,5.32,3.59,2.99,2.65
40,160,0.425,4,4.25,3.68
40,180,4.27,3.6,3.5,3.17
40,200,1.995,1.925,1.966,2.13
40,240,1.05,1.3,1.391,1.418
40,280,0.8,0.995,1.041,1.05
80,320,0.001,0.995,0.95,1.012
100,400,-0.15,0.565,0.803,0.947
100,400,-0.64,0.355,0.68,0.792
100,400,0.245,0.737,0.918,1.006
100,500,-0.53,0.1,0.316,0.43
100,600,-0.19,0.1525,0.275,0.34
200,1000,0.462,0.422,0.405,0.41
200,2000,0.26,0.1937,0.1691,0.1568
200,3000,0.21,0.1425,0.1183,0.105
200,4000,0.1975,0.1225,0.983,0.862
